X,Y,Name,nid,parent_nid,serial,type,latitude,longitude,status
123.9750018,0.6246932,Provinsi Sulawesi Utara,24,0.0,71,1,0.6246932,123.9750018,1
121.4456179,-1.4300254,Provinsi Sulawesi Tengah,25,0.0,72,1,-1.4300254,121.4456179,1
119.9740534,-3.6687994,Provinsi Sulawesi Selatan,26,0.0,73,1,-3.6687994,119.9740534,1
122.174605,-4.14491,Provinsi Sulawesi Tenggara,27,0.0,74,1,-4.14491,122.174605,1
122.4467238,0.6999372,Provinsi Gorontalo,28,0.0,75,1,0.6999372,122.4467238,1
119.2320784,-2.8441371,Provinsi Sulawesi Barat,29,0.0,76,1,-2.8441371,119.2320784,1
123.0666667,0.5333333,Kabupaten Gorontalo,1696,28.0,7501,2,0.5333333,123.0666667,1
122.4920088,0.9252647,Kabupaten Gorontalo Utara,1699,28.0,7505,2,0.9252647,122.4920088,1
123.0666667,0.5333333,Kota Gorontalo,1700,28.0,7571,2,0.5333333,123.0666667,1
